ID;Name;IMDB_Rating;Premiere;Finale ;Runtime_of_Episodes;Overview
834;Rookie Blue;7.7;2010;2015;42;Andy McNally and her friends are out of the academy and must adjust to the challenging life of a police officer at the 15th Division in Toronto.
835;Family Ties;7.2;1982;1989;30;Chronicles liberal ex-hippies Steven and Elyse Keaton, their conservative son Alex, daughters Mallory and Jennifer, and later, youngest child Andrew.
836;The Pink Panther Show;7.6;1969;2011;90;A classy, resourceful panther has plenty of hilarious misadventures, outwitting those who annoy him with his clever tricks.
837;Smurfs;7.2;1981;1989;30;The Smurfs are tiny blue creatures that live in mushroom houses in a peaceful forest. They repeatedly try to outwit Gargamel, an evil sorcerer, his apprentice, Scruple, and his mangy cat, Azrael.
838;Kidding;8;2018;2020;30;Jeff, a famous children's television icon, struggles to retain his sanity as his family falls apart.
839;Graceland;7.7;2013;2015;42;A rookie FBI agent is sent to a house for undercover agents in Southern California, where he is trained by a former legend FBI agent.
840;Catastrophe;8.2;2015;2019;24;American man Rob gets Irish woman Sharon pregnant when they hook up for a week while he is on a business trip in London.
841;Police Squad!;8.4;1982;null;24;"Sight gags and non-sequiturs dominate this spoof of police dramas. The six episodes formed the basis for the very successful ""Naked Gun"" film franchise."
842;Ned's Declassified School Survival Guide;7.4;2004;2007;22;Ned Bigby shares his advice on how to survive middle school.
843;Robin Hood;7.5;2006;2009;60;After 5 years of fighting in the crusades, Robin returns to England and leads a band of outlaws to outwit the Sheriff of Nottingham.
844;Psycho-Pass;8.2;2012;null;25;"Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this ""perfect"" system, she questions both Sibyl and herself."
845;The Penguins of Madagascar;7.6;2008;2015;11;The daily adventures of penguins living in New York's Central Park Zoo.
846;Fresh Meat;7.9;2011;2016;50;A comedy that follows a group of six students about to embark on the most exciting period of their lives so far, university.
847;The Ricky Gervais Show;8.3;2010;2012;30;Ricky Gervais and Stephen Merchant talk to Karl Pilkington about important things in life whilst Karl provides anything but intelligent answers. Comedy at its finest with wonderful animation.
848;Medici;7.9;2016;2019;60;A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.
849;Mob Psycho 100;8.5;2016;null;24;A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.
850;Two Guys, a Girl and a Pizza Place;7.4;1998;2001;30;Three twenty-somethings share a Boston apartment and hang around (and work) at a pizza place.
851;Breathe;8.3;2018;null;45;This series just asks one question - how far will you go to protect the one you love. Two desperate and driven men must engage in the ultimate cat and mouse game to save the one they love.
852;Dirty John;7.2;2018;null;44;Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.
853;The Bugs Bunny/Looney Tunes Comedy Hour;8.4;1985;1986;45;A Saturday morning series, collecting of some of the most popular classic cartoons from the Looney Tunes catalogue.
854;Ellen: The Ellen DeGeneres Show;6.9;2003;null;60;A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents.
855;Metalocalypse;8.2;2006;2013;11;The epic and over-the-top adventures of Dethklok, the world's most successful death metal band.
856;Danny Phantom;7.1;2004;2007;30;A 14-year-old receives ghost powers and uses them to save the world
857;Queer Eye;8.5;2018;null;45;A new Fab Five set out to Atlanta to help some of the city's people refine their wardrobes, grooming, diet, cultural pursuits, and home dÃ©cor.
858;RuPaul's Drag Race;8.5;2009;null;63;RuPaul searches for America's next drag superstar.
859;Girlboss;7;2017;null;26;Sophia, a misfit, discovers a passion for fashion, becoming an unlikely businesswoman in the process. As her business grows, however, she has to learn to cope with life as her own boss. This show is loosely based on the true story of Nasty Gal Founder, Sophia Amoruso.
860;Tru Calling;7.4;2003;2005;43;A university graduate working in the city morgue is able to repeat the same day over again to prevent murders or other disasters.
861;Body of Proof;7.1;2011;2013;60;Medical examiner Megan Hunt's unique approach to solving crimes puts her at odds with her superiors.
862;In Treatment;8.3;2008;2021;25;A psychotherapist questions his abilities and gets help by reuniting with his old therapist, whom he has not seen for ten years.
863;My Mad Fat Diary;8.4;2013;2015;47;Set in 1996 in Lincolnshire, the show tells the tragic and humorous story of a very troubled young girl, Rae, who spent four months in a psychiatric hospital for attempted suicide. After ...                See full summaryÂ Â»
864;Pawn Stars;7.2;2009;null;30;Rick Harrison and his family own and run a pawn shop on the Las Vegas strip. They buy, sell, and appraise items of historical value.
865;IÃ§erde;8;2016;2017;60;A story of two brothers torn from each other. Now on the opposite sides of the law, brothers Sarp and Mert are put against each other, unaware of their fraternity.
866;Walker, Texas Ranger;5.5;1993;2001;43;Walker and his partner Trivette are Texas Rangers. They make it their business to battle crime in Dallas and all around the Great State of Texas.
867;Doctor Foster;7.7;2015;2017;60;A woman suspects her husband of having an affair. After following several lines of inquiry far more unravels including a streak of violence below the surface.
868;Daybreak;6.7;2019;null;60;High school outcast Josh is searching for his missing girlfriend in post apocalyptic Glendale. He's joined by a group of misfits Angelica and his former bully Wesley. On the way they'll face many weird things.
869;Kingdom;8.5;2014;2017;43;A retired MMA fighter turned trainer juggles keeping his mixed martial arts gym running and keeping his family united.
870;NCIS: New Orleans;6.8;2014;2021;42;A spin-off of NCIS: Naval Criminal Investigative Service (2003) about the local field office of NCIS that investigates criminal cases involving military personnel in The Big Easy, a city known for its music, entertainment and decadence. This colorful city that harbors a dark side is a magnet for service personnel on leave, and when overindulgence is followed by trouble, Special Agent Dwayne ...                See full summaryÂ Â»
871;Muhtesem YÃ¼zyil;6.7;2011;2014;90;"From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigeth""."
872;Chicago Med;7.5;2015;null;43;The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships.
873;Everything Sucks!;7.5;2018;null;30;In 1990s Oregon, members of a high school A/V club clash with the drama club.
874;Northern Exposure;8.3;1990;1995;60;A newly graduated doctor is required to set up his practice in an eccentric Alaskan town.
875;Shameless;8;2004;2013;90;The lives and relationships of a group of siblings and their estranged father Frank Gallagher on a rough Manchester estate.
876;Sarabhai V/S Sarabhai;8.8;2004;2017;30;The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.
877;Please Like Me;8.5;2013;2016;29;Twenty something Josh is going through a number of big changes as he navigates his first decade of adulthood. After being dumped by his girlfriend, he comes to the realization that he is gay.
878;Kardes Payi;8.6;2014;2015;70;The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.
879;El Chapo;7.8;2017;null;43;A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power during the '90s as the head of the Sinaloa Cartel and his ultimate downfall in 2016.
880;Glitch;7.3;2015;2019;45;Six people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.
881;How to Make It in America;7.9;2010;2011;30;A group of 20 somethings living in New York City. Ben and Cameron work on starting a fashion company, while enjoying their lives in the greatest city in the world.
882;Bull;7;2016;null;60;Brilliant, brash, and charming, Dr. Bull is the ultimate puppet master as he combines psychology, human intuition, and high-tech data to learn what makes jurors, attorneys, witnesses, and the accused tick.
883;Norsemen;7.8;2016;2020;30;Viking life at the close of the 8th century.
884;Alfred Hitchcock Presents;8.5;1955;1962;25;Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.
885;Breakout Kings;7.3;2011;2012;43;A squad of U.S. marshals team up with cons (former fugitives) to work together on tracking down prison escapees in exchange for getting time off their sentences.
886;The Pretender;7.5;1996;2000;60;A specially gifted man, with the ability to instantly master any skill, escapes from a secret testing facility and travels the country taking on different jobs and helping strangers while hiding from his kidnappers.
887;Tosh.0;7.3;2009;null;22;Daniel Tosh provides humorous commentary on content from the Internet.
888;Darkwing Duck;7.6;1991;1992;30;A bumbling superhero battles crime with the help of his daughter and pilot sidekick.
889;Resurrection;7.3;2014;2015;43;The lives of the people of Arcadia, Missouri, are forever changed when their deceased loved ones return.
890;Death in Paradise;7.8;2011;null;60;A UK police DI is transferred to St-Marie to investigate murders on the island, but he hates the sun, sea, and sand. Later series see other English and Irish detectives take over the role.
891;A Young Doctor's Notebook & Other Stories;7.9;2012;2013;23;In the early 20th century, a young doctor arrives in a small Russian village around the time of the Russian Revolution to work in the local hospital.
892;Tengen toppa gurren lagann;8.3;2007;2008;24;Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages.
893;The Finder;7.7;2012;null;44;An Iraq war vet suffers a brain injury that triggers the ability to see connections between seemingly unrelated events, objects or people.
894;Krypton;6.9;2018;2019;45;The untold story of Superman's grandfather as he fights for justice on his home planet.
895;Inuyasha;7.9;2000;2004;24;A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.
896;The New Batman Adventures;8.5;1997;1999;30;The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.
897;Life's Too Short;7.5;2011;2013;30;The show centers on Warwick Davis in his day-to-day life, complete with the frustrations he faces.
898;The Addams Family;8;1964;1966;30;The misadventures of a blissfully macabre but extremely loving family.
899;Spooks;8.2;2002;2011;60;The missions of MI-5, the UK's domestic intelligence organization.
900;Criminal: UK;7.6;2019;null;43;A cat-and-mouse drama, which focuses on the intense mental conflict between detectives and suspects. The stories take place within the confines of a police interview suite.
901;Gargoyles;8.1;1994;1996;30;A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.
902;Pew News;9;2018;2020;15;The Pew News team reports unbiased news in which neither Gloria or Poppy ever give their own opinion, but sometimes they do. Just don't tell Pewdiepie.
903;ZeroZeroZero;8.2;2019;null;60;A cocaine shipment makes its way to Europe, starting from the moment a powerful cartel of Italian criminals decides to buy it, to its journeys through Mexico, to its shipment across the Atlantic Ocean.
904;Jimmy Kimmel Live!;6.5;2003;null;60;Jimmy Kimmel interviews celebrities.
905;S.W.A.T.;7;2017;null;43;Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.
906;Mirai nikki;7.6;2011;2013;25;A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future.
907;Friday Night Dinner;8.1;2011;2020;24;Two siblings share their Friday night dinners at their parents home and, somehow, something always goes wrong.
908;Believe;7.1;2014;null;43;A relationship forms between a gifted young girl and a man sprung from prison who has been tasked with protecting her from the evil elements that hunt her power.
909;Vinland Saga;8.8;2019;null;24;Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.
910;Grounded for Life;7.4;2001;2005;22;Thirty-something Irish Catholic couple Sean and Claudia deal with their three children as well as Sean's judgmental father and carefree brother.
911;Galavant;8.1;2015;2016;22;A musical comedy adventure featuring a knight on a quest for love who helps a childish king to see the error of his ways.
912;Letterkenny;8.6;2016;null;30;Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.
913;Mr Selfridge;7.7;2013;2016;45;Centers on the real-life story of the flamboyant and visionary American founder of Selfridge's, London's department store.
914;Gypsy;6.9;2017;null;51;Therapist Jean Holloway becomes too immersed in the lives of her patients.
915;Ramayan;9.1;1987;1988;30;An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.
916;Kenan & Kel;7.8;1996;2000;30;Kenan and Kel: two best friends who live in Chicago are always dragged down by Kenan's get rich quick schemes while orange soda-loving buddy Kel is dragged along but tends to mess things up.
917;Keeping Up Appearances;7.8;1990;1995;60;A snobbish housewife is determined to climb the social ladder, in spite of her family's working class connections and the constant chagrin of her long suffering husband.
918;White Lines;6.6;2020;null;60;A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.
919;The Big C;8.1;2010;2013;30;A suburban mother faces her cancer diagnosis while trying to find humor and happiness as well.
920;All in the Family;8.3;1971;1979;30;A working class man constantly squabbles with his family over the important issues of the day.
921;Highlander;7.2;1992;1998;60;Duncan MacLeod is Immortal, and must live in modern society, concealing his true nature while fighting other Immortals.
922;Versailles;7.9;2015;2018;52;In 1667, 28-year-old all-powerful king of France, Louis XIV, decides to build the greatest palace in the world - Versailles. But drained budget, affairs and political intrigues complicate things.
923;The Mick;7.8;2017;2018;30;A hard-living aunt is forced to take care of her wealthy sister's spoiled kids after the mom flees the country to avoid criminal charges.
924;The Angry Video Game Nerd;8.5;2004;null;35;A foul-mouthed nerd reviews bad video games.
925;Tales from the Loop;7.5;2020;null;50;"The townspeople who live above ""The Loop,"" a machine built to unlock and explore the mysteries of the universe, experience things previously consigned to the realm of science fiction."
926;Young & Hungry;7.4;2014;2018;22;A well-off young tech entrepreneur hires a feisty young food blogger to be his personal chef.
927;Battlestar Galactica;7.2;1978;1979;60;After the destruction of the Twelve Colonies of Mankind, the last major fighter carrier leads a makeshift fugitive fleet on a desperate search for the legendary planet Earth.
928;Faking It;7.4;2014;2016;21;After numerous attempts of trying to be popular two best friends decide to come out as lesbians, which launches them to instant celebrity status. Seduced by their newfound fame, Karma and Amy decide to keep up their romantic ruse.
929;Superman;8.1;1996;2000;30;The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes.
930;Mars;7.5;2016;2018;60;The first manned mission from Earth to Mars in 2033 attempts to colonize the red planet.
931;Miss Fisher's Murder Mysteries;8.3;2012;2015;60;A female sleuth sashays through the back lanes and jazz clubs of Melbourne in the late 1920s, fighting injustice with her pearl-handled pistol and her dagger-sharp wit.
932;Life Unexpected;7.5;2010;2011;60;After 15 years in foster homes, Lux decides to get emancipated, which leads to her meeting her birth parents.
933;Zoey 101;6.1;2005;2008;30;Zoey Brooks and her brother, Dustin, attend their first day at Pacific Coast Academy, a private boarding school that enrolls girls for the first time in its history.
934;Brickleberry;7.4;2012;2015;22;A group of never-do-well forest rangers are facing the shutdown of their National Park when a new ranger arrives to help transform them and save the park.
935;The Angry Beavers;7.2;1997;2001;30;The wacky and sometimes surreal adventures of Norbert and Daggett Beaver.
936;Undone;8.2;2019;null;23;A woman discovers she has a new relationship with time after surviving a car accident that almost killed her.
937;Electric Dreams;7.3;2017;null;60;A sci-fi anthology series with stand-alone episodes based on the works of Philip K. Dick.
938;Paradise PD;6.9;2018;null;28;Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.
939;The Black Donnellys;8.1;2007;null;60;Four young Irish brothers are caught up in New York's underworld of organized crime.
940;Even Stevens;7.6;2000;2003;30;The Stevens family live in Sacramento, California, where the two younger children in the family, Ren and Louis, who have opposing personalities, often clash.
941;Growing Pains;6.6;1985;1992;30;The misadventures of a family with a home business father and a journalist mother.
942;Charmed;4.6;2018;null;43;Follows the lives of three sisters who, after the tragic death of their mother, discover they are powerful witches.
943;Treme;8.2;2010;2013;59;Life after Hurricane Katrina as the residents of New Orleans try to rebuild their lives, their homes, and their unique culture in the aftermath of one of the worst natural disasters in the USA.
944;Chef's Table;8.6;2015;null;50;Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.
945;TaleSpin;7.6;1990;1991;30;Baloo the Bear from The Jungle Book (1967) is cast as a 1930s Pacific Islands bush pilot.
946;NewsRadio;7.9;1995;1999;23;"The workplace sitcom ""NewsRadio"" explores the office politics and interpersonal relationships among the staff of WNYX NewsRadio, New York's #2 news radio station."
947;The Amazing Race;7.6;2001;null;60;Multiple teams race around the globe for $1,000,000 to 'amazing' locations.
948;UnREAL;7.8;2015;2018;42;A behind-the-scenes look at the chaos surrounding the production of a dating competition program.
949;The Young Ones;8.2;1982;1984;410;The crazy and sometimes surreal comedic adventures of four very different students in Thatcher's Britain.
950;Delhi Crime;8.5;2019;null;50;Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.
951;I Dream of Jeannie;7.4;1965;1970;30;A United States astronaut finds his life vastly complicated when he stumbles on to a bottle containing a female genie.
952;The Stand;5.5;2020;2021;510;After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors.
953;Primeval;7.3;2007;2011;60;When strange anomalies start to appear all over England, Professor Cutter and his team must track down and capture all sorts of dangerous prehistoric creatures from Earth's distant past and near future.
954;Trollhunters;8.5;2016;2018;23;An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.
955;The Eric Andre Show;8.6;2012;null;11;Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.
956;Are You Afraid of the Dark?;8.2;1990;2000;30;A group of kids get together in the woods, and tell ghost stories.
957;Ben 10;7.2;2005;2008;22;The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species.
958;Reba;6.5;2001;2007;30;Reba McEntire stars as the titular character in this smash sitcom about a single mom of three, navigating life in a Houston suburb.
959;McMafia;7.7;2018;null;60;Alex Godman has spent his life trying to escape the shadow of his family's past. But when a murder unearths their past, Alex is drawn into the criminal underworld where he must confront his values to protect those he loves.
960;The Brink;7.8;2015;null;30;Top U.S. government and military scramble to prevent World War 3 from happening amidst the chaos of a geopolitical crisis.
961;Top Boy;8.4;2011;null;60;Two London drug dealers ply their lucrative trade at a public housing estate in East London.
962;One Day at a Time;8.2;2017;2020;30;Follows three generations of the same Cuban-American family living in the same house: a newly divorced former military mother, her teenage daughter and tween son, and her old-school mother.
963;Miranda;8.2;2009;2015;30;Socially inept Miranda always gets into awkward situations
964;Kurtlar Vadisi;7.5;2003;2005;65;Follows a Turkish agent working under the assumed identity of Polat Alemdar attempting to infiltrate the Turkish mafia.
965;Franklin & Bash;7.6;2011;2014;60;Lawyers and lifelong friends Jared Franklin and Peter Bash are recruited by a large firm's major partner after winning a high-profile case.
966;Harley Quinn;8.5;2019;null;23;The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.
967;The Avengers: Earth's Mightiest Heroes;8.3;2010;2012;30;After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats.
968;Deadly Class;7.6;2018;2019;60;A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins.
969;The Chosen;9.7;2017;null;54;A charismatic fisherman drowning in debt. A troubled woman wrestling with real demons. A young tax collector ostracized by society. A religious leader questioning his faith tradition.
970;The Wild Thornberrys;6.7;1998;2004;30;The life of an adventurous family, from the point of view of an eleven-year-old girl gifted with animal language.
971;Kalifat;8.2;2020;null;46;Agent Fatima gets a tip that a terrorist act is planned in Sweden. At the same time, the teenager Sulle has opened her eyes to her student assistant who opens the doors to a new fascinating world.
972;Prodigal Son;7.7;2019;null;44;Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.
973;Everwood;7.4;2002;2006;60;A widowed brain surgeon from Manhattan moves his two children to the small mountain town of Everwood, Colorado.
974;Girl Meets World;7.2;2014;2017;23;More than a decade after Boy Meets World (1993), Cory and Topanga Matthews are married and have two children. Their daughter, Riley, faces life lessons through her family, friends, and school--where her father is her history teacher--as her parents did when they were younger.
975;Gilligan's Island;7.3;1964;1967;30;Seven men and women are stranded on an uncharted island following a torrential storm.
976;For All Mankind;7.7;2019;null;60;In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.
977;Bonding;7.2;2018;null;107;A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.
978;Jessie;5.9;2011;2015;30;A Texan teen moves to New York City to follow her dreams and ends up as a nanny for a high profile couple's four children.
979;Insecure;7.9;2016;null;30;Follows the awkward experiences and racy tribulations of a modern-day African-American woman.
980;Life in Pieces;8;2015;2019;22;A family comedy told through the separate stories of different family members.
981;The Purge;6.5;2018;2019;42;Set in an altered United States, several unrelated people discover how far they will go to survive a night where all crime is legal for 12 hours.
982;Doc Martin;8.3;2004;null;46;The trials and tribulations of Dr. Martin Ellingham (Martin Clunes), a socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall.
983;Late Show with David Letterman;6.9;1993;2015;60;The Late Show with David Letterman is an hour-long weeknight comedy and talk-show broadcast by CBS from the Ed Sullivan Theater on Broadway in New York City.
984;Frequency;7.5;2016;2017;42;A police detective in 2016 discovers that she is able to communicate with her father via a ham radio, despite the fact that he died in 1996.
985;Step by Step;6.5;1991;1998;30;Two families become one, step by step.
986;StartUp;8;2016;2018;44;A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.
987;Foyle's War;8.4;2002;2015;90;As WWII rages, DCS Foyle fights his own war on the home-front
988;Yes Minister;8.6;1980;1984;60;The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.
989;In the Flesh;8;2013;2014;56;Four years after the Rising, the government starts to rehabilitate the Undead for reentry into society, including teenager Kieren Walker, who returns to his small Lancashire village to face a hostile reception, as well as his own demons.
990;Secret Diary of a Call Girl;7.4;2007;2011;30;Based on the popular diary of the anonymous sex worker known only as Belle de Jour.
991;Video Game High School;7.6;2012;2014;42;In a futuristic world where gaming is the top sport, a teenager attends a school which specializes in a curriculum of video games in each genre.
992;Inside No. 9;8.5;2014;null;30;Anthology series which mixes dark humor with genres like crime, horror or drama. The show invites viewers into some very different No.9s, where the ordinary and mundane rub shoulders with the extraordinary and macabre.
993;Legends;7.5;2014;2015;60;Follows a deep-cover operative named Martin Odum, who has an uncanny ability to transform himself into a different person for each job. But his own identity comes into question when a ...                See full summaryÂ Â»
994;Mistresses;7.1;2013;2016;43;Follows the scandalous lives of a group of four girlfriends, each on her own path to self-discovery as they brave the turbulent journey together.
995;Unforgotten;8.2;2015;null;45;London detectives investigate crimes from the past, unravelling secrets left buried for years.
996;H2O: Just Add Water;7.2;2006;2010;23;Three girls become mermaids after a mysterious island transforms them and gives them special powers.
997;The Munsters;7.8;1964;1966;30;A family of friendly monsters have misadventures, never quite understanding why people react to them so strangely.
998;Ergo Proxy;8;2006;null;25;In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life.
999;Absentia;7.3;2017;null;60;After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders.
1000;Midnight, Texas;7.4;2017;2018;60;Midnight is a safe haven for those who are different, but with the presence of outsiders, the residents band together and form a strong and unlikely family.
1001;Late Night with Jimmy Fallon;6.8;2009;2014;60;Comedian Jimmy Fallon hosts a late-night talk show.
1002;Bandish Bandits;8.6;2020;null;30;"Indian classical singer Radhe and pop star Tamanna. Despite their contrasting personalities, the two ""set out together on a journey of self-discovery to see if opposites, though they might attract, can also adapt and go the long haul."
1003;The Brady Bunch;6.7;1969;1974;30;The misadventures of a large family united when a widower and a widow marry.
1004;Whitney;5.7;2011;2013;30;A girl, a guy, and their friends are twenty-somethings living in Chicago.
1005;Real Time with Bill Maher;7.4;2003;null;60;Comedian and political satirist Bill Maher discusses topical events with guests from various backgrounds.
1006;The Prisoner;8.4;1967;1968;50;After resigning, a secret agent is abducted and taken to what looks like an idyllic village, but is really a bizarre prison. His warders demand information. He gives them nothing, but only tries to escape.
1007;Avenue 5;6.5;2020;null;28;The troubled crew of Avenue 5, a space cruise ship filled with spoiled, rich, snotty space tourists, must try and keep everyone calm after their ship gets thrown off course into space and ends up needing three years to return to Earth.
1008;What I Like About You;6.6;2002;2006;30;When Holly's father is transferred to Japan, she is sent to live with her big sister Valerie in New York City, turning Valerie's life upside down.
1009;Three's Company;7.5;1976;1984;30;The misadventures of two women and one man living in one apartment and their neighbors.
1010;The Righteous Gemstones;8;2019;null;36;Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work.
1011;Andromeda;6.6;2000;2005;43;Captain Dylan Hunt and the crew of the Andromeda Ascendant set out on a mission to rebuild the Systems Commonwealth 300 years after its fall.
1012;Crossing Lines;7.3;2013;2015;43;A special crime unit investigates serialized crimes that cross over European borders, to hunt down criminals and bring them to justice.
1013;The Andy Griffith Show;8.3;1960;1968;30;Widower Sheriff Andy Taylor, and his son Opie, live with Andy's Aunt Bee in Mayberry, North Carolina. With virtually no crimes to solve, most of Andy's time is spent philosophizing and calming down his cousin Deputy Barney Fife.
1014;Sa-rang-eui bul-sa-chak;8.7;2019;2020;70;The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.
1015;Troy: Fall of a City;3.8;2018;null;60;Retells the story of the 10 year siege of Troy, which occurred in the 12 or 13th century BC.
1016;Hot in Cleveland;7.3;2010;2015;30;Three 40-something best friends from Los Angeles are flying to Paris when their plane makes an emergency landing in Cleveland. Realizing that all the norms from Los Angeles don't apply anymore, they decide to celebrate a city that values real women and stay where they're still considered hot.
1017;Arthur;7.3;1996;null;30;Based on the books by Marc Brown, these are the adventures of Arthur, an 8-year-old aardvark, and his family and friends as they grow up and learn how to be good neighbors to one another.
1018;Better Things;7.8;2016;null;22;An actress raises her three daughters while juggling the pressures of working in Hollywood and being a single parent.
1019;Kureimoa;8;2007;null;24;"In a world rife with deadly creatures called ""youma"", a young silver eyed woman, Clare, works on behalf of an organization that trains female youma halfbreeds into warriors with the ability...                See full summaryÂ Â»"
1020;Black Lagoon;8;2006;null;25;A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang.
1021;Tin Star;7.3;2017;2020;60;Ex undercover UK cop turned police chief of a small town in the Canadian Rockies does what he must to defend his family from those in power whether it's the oilmen, the preachers or the gangsters.
1022;Britannia;6.8;2017;null;60;In 43 AD, the Roman Army returns to crush the Celtic heart of Britannia.
1023;Shaun the Sheep;8.2;2007;2020;7;Shaun is a sheep who doesn't follow the flock - in fact, he leads them into all sorts of scrapes and scraps, turning peace in the valley into mayhem in the meadow. Shaun and his pals run ...                See full summaryÂ Â»
1024;Easy;6.9;2016;null;30;Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.
1025;Las chicas del cable;7.6;2017;2020;50;Set in the 1920s, this is the story of four women from different backgrounds newly hired as operators for a phone company.
1026;Sesame Street;8.1;1969;null;55;On a special inner city street, the inhabitants, human and muppet, teach preschool subjects with comedy, cartoons, games, and songs.
1027;Wonderfalls;8.2;2004;null;60;24-year-old loner B.A. Jaye lives in a trailer park and sells souvenirs in Niagara Falls. Animal figurines and dolls speak to her and force her to interact with people and try to help them.
1028;Mayans M.C.;7.5;2018;null;60;"Set in a post-Jax Teller world, ""Mayans MC"" sees EZ Reyes, a former golden boy now fresh out of prison, as a prospect in the Mayan MC charter on the California-Mexico border who must carve out his new outlaw identity."
1029;The Late Show with Stephen Colbert;7.2;2015;null;41;Stephen Colbert took over as host, executive producer and writer of THE LATE SHOW on Tuesday, Sept. 8, 2015. The comedy-variety-talk show is broadcast five nights a week from the Ed Sullivan theater in New York.
1030;The Crazy Ones;7.1;2013;2014;20;Out-of-the-box Simon Roberts runs an ad agency with his Type-A daughter Sydney.
1031;V-Wars;6.1;2019;null;60;Dr. Luther Swann enters a world of horror when a virus is released from ice melting due to climate change.
1032;Siren;7;2018;2020;60;A coastal town known for its legend of once being home to mermaids is turned upside down when a mysterious girl appears and begins wreaking havoc.
1033;Magic City;7.6;2012;2013;50;Centers on Miami mobsters and other characters from Miami Beach in the late 1950s.
1034;Content Cop;8.9;2015;null;20;"In an effort to bring justice to the YouTube community, former police officer Ian Carter takes on the title of ""Content Cop"". Using his old police uniform and raw wit, Ian sets out to stop the creators that bring nothing but discord to his online city."
